,#,Boardgame,Min. Players,Max. Players,Playing Time,Complexity (BGG),Language,Type,Categories,Mechanisms,
,1,Codenames: The Simpsons (2019),2,8,15 Min,"1,2",English,Party,"Card Game, Deduction, Movies / TV / Radio theme, Party Game","Memory, Pattern Recognition, Push Your Luck, Team-Based Game",
,1,Coffee Rush (2023),2,4,30 Min,"1,81",,Family,Abstract Strategy,"Contracts, Grid Movement",
,1,Collect a Zombie (2024),2,4,20 Min,"1,2",,Family,"Card Game, Zombies",Set Collection,
,1,Colt Express (2014),2,6,40 Min,"1,84",,Family,"American West, Fighting, Trains","Action Queue, Hand Management, Memory, Programmed Movement, Take That, Turn Order: Progressive, Variable Player Powers",
,2,Concept (2013),4,12,40 Min,"1,38",,Party,"Deduction, Party Game, Word Game","Communication Limits, Race, Team-Based Game",
,1,Conflicting Legends (Second Edition) (2019),3,6,30 Min,"1,5",English,Party,"Card Game, Party Game","Hand Management, Rock-Paper-Scissors",
,1,Conspiracy (1973),3,4,90 Min,"1,91","Dutch, French",Family,"Bluffing, Memory, Spies / Secret Agents","Betting and Bluffing, Memory, Pick-Up and Deliver",
,1,Coralia (2019),2,4,30-35 Min,"2,07","Dutch, English, French, German",Family,"Animals, Dice","Dice Rolling, Open Drafting, Set Collection",
,1,Cottage Garden (2016),1,4,60 Min,"1,89",Dutch,Family,"Abstract Strategy, Farming, Puzzle","Grid Coverage, Open Drafting, Pattern Building, Tile Placement",
,1,Coup (2012),2,6,15 Min,"1,42",,Party,"Bluffing, Card Game, Deduction, Party Game, Political","Hidden Roles, Memory, Player Elimination, Take That, Variable Player Powers",
,1,Creature Comforts (2022),1,5,45 Min,"2,35",Dutch,Family,Animals,"Auction: Dutch, Contracts, Dice Rolling, End Game Bonuses, Events, Hand Management, Open Drafting, Ownership, Push Your Luck, Set Collection, Solo / Solitaire Game, Tags, Turn Order: Progressive, Worker Placement, Worker Placement with Dice Workers",
,1,Crooks (2012),2,4,15 Min,"1,44",,Family,"Card Game, Mafia",Hand Management,
,1,Crox Word (2014),2,4,15 Min,"1,11",,Family,"Dice, Real-time, Word Game","Dice Rolling, Pattern Building, Spelling",
,1,Cubeez (2018),2,4,15 Min,1,,Children's,"Action / Dexterity, Children's Game",Pattern Recognition,
,1,Cubitos (2021),2,4,30-60 Min,"2,17",,Family,"Dice, Racing","Catch the Leader, Deck, Bag, and Pool Building, Delayed Purchase, Dice Rolling, Grid Movement, Market, Push Your Luck, Race, Re-rolling and Locking, Variable Set-up",
,1,Cubosaurus (2022),2,5,20 Min,"1,33",,Family,"Card Game, Prehistoric","Closed Drafting, Set Collection",
,1,Cup King (2014),2,6,20 Min,"1,26","Dutch, French",Family,"Action / Dexterity, Animals, Card Game","Hand Management, Ladder Climbing",
,1,Cuzco (2018),2,4,90 Min,"2,64",,Strategy,City Building,"Action Points, Area Majority / Influence, Auction / Bidding, Hand Management, Hexagon Grid, Layering, Map Addition, Once-Per-Game Abilities, Tile Placement, Zone of Control",
,1,Dale of Merchants 3 (2020),2,4,20-40 Min,"2,14",Dutch,Strategy,"Animals, Card Game, Fantasy","Deck, Bag, and Pool Building, Dice Rolling, Hand Management, Open Drafting, Set Collection, Take That, Team-Based Game",
,1,Dan and Phil's Truth Bombs (2017),4,8,20 Min,1,English,Party,Party Game,Storytelling,
,1,Dancing Eggs (2003),2,4,10 Min,"1,05",,Children's,"Action / Dexterity, Children's Game, Dice, Humor, Party Game",Dice Rolling,
,2,De Boze Wolf (2012),3,6,10 Min,"1,03",Dutch,Party,"Bluffing, Deduction",Push Your Luck,
,2,De Crew: Missie Diepzee (2021),2,5,20 Min,"2,05",Dutch,Family,"Adventure, Card Game, Mythology, Nautical","Communication Limits, Cooperative Game, Deduction, Hand Management, Scenario / Mission / Campaign Game, Trick-taking",
,2,De Crew: Op Weg naar de 9e Planeet (2019),2,5,20 Min,"1,97",Dutch,Family,"Card Game, Science Fiction, Space Exploration","Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking",
,1,De Kolonisten van Catan: Het Dobbelspel (2007),1,4,15-30 Min,"1,23",Dutch,Family,Dice,"Dice Rolling, Paper-and-Pencil, Set Collection, Solo / Solitaire Game",
,1,De Kwakzalvers van Kakelenburg: Het Duel (2024),2,2,45-60 Min,"2,28",Dutch,"Two-Player, Strategy",Medieval,"Deck, Bag, and Pool Building",
,1,De Kwakzalvers van Kakelenburg (2018),2,4,45 Min,"1,94",Dutch,Family,"Fantasy, Medieval",,
,1,De Legenden van Andor (2012),2,4,60-90 Min,"2,77",Dutch,Thematic,"Adventure, Fantasy, Fighting, Puzzle","Catch the Leader, Deck, Bag, and Pool Building, Delayed Purchase, Dice Rolling, Die Icon Resolution, Events, Neighbor Scope, Push Your Luck, Score-and-Reset Game, Simultaneous Action Selection, Track Movement, Variable Set-up",
,1,De Paleizen van Carrara (2012),2,4,60 Min,"2,59",Dutch,Strategy,"City Building, Economic, Renaissance","Increase Value of Unchosen Resources, Set Collection, Tile Placement",
,1,De Pedaalridders (1963),2,6,20 Min,"1,27",Dutch,Family,"Card Game, Racing, Sports",Hand Management,
,2,De Rode Kathedraal (2020),1,4,80 Min,"2,82",,Strategy,"Dice, Economic","Area Majority / Influence, Contracts, Dice Rolling, End Game Bonuses, Rondel, Solo / Solitaire Game, Victory Points as a Resource",
,1,De Ruimteschepen van Catan (2001),2,2,60 Min,"2,46",Dutch,"Two-Player, Strategy","Card Game, Exploration, Science Fiction, Space Exploration","Dice Rolling, Memory, Push Your Luck, Trading",
,1,De Verdwenen Ruïnes van Arnak (2020),1,4,30-120 Min,"2,93",Dutch,Strategy,"Adventure, Card Game, Exploration, Fantasy","Area Movement, Contracts, Deck, Bag, and Pool Building, Delayed Purchase, End Game Bonuses, Hand Management, Multi-Use Cards, Once-Per-Game Abilities, Open Drafting, Resource to Move, Solo / Solitaire Game, Track Movement, Turn Order: Progressive, Worker Placement",
,1,De Vergeten Stad (2013),2,5,45 Min,"2,04",Dutch,Family,"Adventure, Fantasy, Science Fiction","Action Points, Bias, Cooperative Game, Grid Movement, Hand Management, Map Deformation, Modular Board, Pick-up and Deliver, Solo / Solitaire Game, Square Grid, Tile Placement, Variable Player Powers",
,2,De Vos in het Bos (2017),2,2,30 Min,"1,6",Dutch,"Two-Player, Family","Animals, Card Game, Fantasy","Hand Management, Race, Score-and-Reset Game, Trick-taking, Turn Order: Stat-Based",
,1,De Vos in het Bos Duet (2020),2,2,30 Min,"1,77",Dutch,"Two-Player, Family","Animals, Card Game, Fantasy","Communication Limits, Cooperative Game, Hand Management, Map Reduction, Trick-taking, Variable Set-up",
,2,De Weerwolven van Wakkerdam (2001),8,18,30 Min,"1,31",Dutch,Party,"Bluffing, Deduction, Horror, Murder / Mystery, Party Game","Hidden Roles, Player Elimination, Role Playing, Team-Based Game, Variable Player Powers, Voting",
,2,De Zoektocht naar El Dorado (2017),2,4,30-60 Min,"1,94",Dutch,Family,"Adventure, Exploration, Racing","Deck, Bag, and Pool Building, Delayed Purchase, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Multi-Use Cards, Once-Per-Game Abilities, Open Drafting, Race, Resource to Move, Variable Set-up, Zone of Control",
,1,De Zoektocht naar El Dorado: De Gouden Tempels (2019),2,4,30-60 Min,"2,03",Dutch,Family,"Adventure, Exploration","Deck, Bag, and Pool Building, Grid Movement, Hand Management, Modular Board, Open Drafting, Pick-up and Deliver, Race",
,1,Dead of Winter: The Long Night (2016),2,5,60-120 Min,"3,35",,Thematic,"Bluffing, Deduction, Horror, Mature / Adult, Science Fiction, Zombies","Action Points, Cooperative Game, Dice Rolling, Hand Management, Narrative Choice / Paragraph, Push Your Luck, Semi-Cooperative Game, Storytelling, Trading, Traitor Game, Variable Player Powers, Voting",
,1,Deal with the Devil (2022),4,4,120-150 Min,"3,66",,Strategy,"City Building, Deduction, Fantasy, Medieval, Religious","Deduction, Events, Hidden Roles, Income, Loans, Trading, Variable Player Powers, Voting",
,1,Decrypto (2018),3,8,15-45 Min,"1,82",,Party,"Deduction, Party Game, Spies / Secret Agents, Word Game","Communication Limits, Paper-and-Pencil, Targeted Clues, Team-Based Game",
,1,Deep Blue (2019),2,5,45 Min,"1,93",Dutch,Family,Nautical,"Deck, Bag, and Pool Building, Hand Management, Push Your Luck",
,2,Deep Regrets (2025),1,5,30-150 Min,"2,34",English,Family,"Dice, Horror, Nautical","Cooperative Game, Dice Rolling, Market, Push Your Luck, Re-rolling and Locking, Set Collection, Solo / Solitaire Game",
,1,Descent: Journeys in the Dark (Second Edition) (2012),1,5,120 Min,"3,22",English,Thematic,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Action Points, Dice Rolling, Grid Movement, Hand Management, Line of Sight, Map Addition, Modular Board, Movement Points, Multiple Maps, Once-Per-Game Abilities, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Stat Check Resolution, Team-Based Game, Variable Player Powers",
,1,Destinies (2021),1,3,90-150 Min,"1,92",,Thematic,"Adventure, Exploration, Fantasy, Fighting, Medieval","Dice Rolling, Map Addition, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling, Tile Placement",
,1,Deus (2014),2,4,60-90 Min,"2,83",,Strategy,"Civilization, Mythology","Action Queue, Area Majority / Influence, End Game Bonuses, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Multi-Use Cards, Network and Route Building, Victory Points as a Resource",
,1,Dice Hospital (2018),1,4,45-90 Min,"2,34",English,Strategy,"Dice, Medical","Action Drafting, Action Points, Dice Rolling, Hexagon Grid, I Cut, You Choose, Modular Board, Solo / Solitaire Game, Variable Phase Order, Worker Placement, Worker Placement with Dice Workers",
,1,Dice Throne: Season One ReRolled – Monk v. Paladin (2021),2,6,30 Min,"1,9",English,Family,"Card Game, Dice, Fantasy, Fighting","Dice Rolling, Take That, Team-Based Game, Variable Player Powers",
,1,Dice Throne: Season One ReRolled – Pyromancer v. Shadow Thief (2021),2,6,30 Min,"1,9",English,Family,"Card Game, Dice, Fantasy, Fighting","Dice Rolling, Take That, Team-Based Game, Variable Player Powers",
,1,Dier op Dier (2005),2,4,15 Min,"1,04",Dutch,Children's,"Action / Dexterity, Animals, Children's Game","Dice Rolling, Stacking and Balancing, Take That",
,1,Dier op Dier (2005),2,4,15 Min,"1,04",Dutch,Children's,"Action / Dexterity, Animals, Children's Game","Dice Rolling, Stacking and Balancing, Take That",
,1,Dieren van de Wereld: Op Ontdekking in de Wildernis (2022),2,4,20 Min,1,Dutch,Children's,"Animals, Children's Game","Matching, Push Your Luck, Race, Voting",
,1,Dinosaur Island (2017),1,4,90-120 Min,"3,05",,Strategy,"Animals, Economic, Science Fiction","Action Points, Dice Rolling, Income, Set Collection, Tile Placement, Worker Placement",
,1,Diplomacy (1959),2,7,360 Min,"3,32",,Strategy,"Bluffing, Negotiation, Political, Post-Napoleonic, Wargame","Area Majority / Influence, Area Movement, Negotiation, Player Elimination, Prisoner's Dilemma, Simulation, Simultaneous Action Selection",
,2,Disney Villainous: Introduction to Evil (2023),2,6,45-120 Min,"2,44",English,Family,"Card Game, Fantasy, Medieval, Movies / TV / Radio theme, Mythology, Novel-based, Pirates","Hand Management, Take That, Variable Player Powers",
,1,Disney Villainous: The Worst Takes It All (2018),2,6,45-120 Min,"2,49",English,Family,"Card Game, Fantasy, Medieval, Movies / TV / Radio theme, Mythology, Novel-based, Pirates","Hand Management, Take That, Variable Player Powers",
,1,District Noir (2016),2,2,10-20 Min,"1,3",,Family,"Bluffing, Card Game","Hand Management, Open Drafting, Push Your Luck, Set Collection",
,1,Dive (2021),1,4,20-30 Min,"1,44","Dutch, English, French",Family,Exploration,"Action Points, Programmed Movement, Push Your Luck, Race, Simultaneous Action Selection, Variable Player Powers",
,2,Dixit (2008),3,6,30 Min,"1,19",,Party,"Card Game, Humor, Party Game","Race, Singing, Storytelling, Targeted Clues, Voting",
,1,Dizzy Lizzy (2023),1,9,5-20 Min,1,,Family,"Animals, Card Game",Pattern Building,
,1,Dobbel Zo Clever (2019),1,4,30 Min,"2,27",,Family,"Dice, Number","Dice Rolling, Paper-and-Pencil, Re-rolling and Locking, Solo / Solitaiere Game",
,1,Dobbel Vouwen (2021),1,4,20 Min,"1,2",,Family,Dice,"Connections, Dice Rolling, Square Grid",
,1,Dobble (2009),2,8,15 Min,"1,04",,Party,"Card Game, Children's Game, Educational, Party Game, Real-Time, Sports","Hot Potato, Pattern Recognition, Speed Matching",
,1,Dominion (Second Edition) (2016),2,4,30 Min,"2,17",Dutch,Strategy,"Card Game, Medieval","Deck, Bag, and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Take That, Variable Set-up",
,1,Domino in Actie (2020),2,6,15 Min,1,Dutch,Children's,"Abstract Strategy, Children's Game, Educational","Pattern Building, Pattern Recognition, Tile Placement",
,1,Dominoes (1500),2,10,30 Min,"1,37",,Abstract,"Abstract Strategy, Game System","Matching, Pattern Building, Pattern Recognition, Team-Based Game, Tile Placement",
,1,Doodle Dash (2021),3,7,15-20 Min,1,,Party,"Party Game, Real-Time","Communication Limits, Drawing, Line Drawing, Score-and-Reset Game",
,1,Dorf Romantik: Het Bordspel (2022),1,6,30-60 Min,"1,64",Dutch,Family,"Environmental, Puzzle, Territory Building, Video Game Theme","Area Majority / Influence, Cooperative Game, Hexagon Grid, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Tile Placement, Variable Set-up",
,1,Dorfromantik: The Board Game (2022),1,6,30-60 Min,"1,64",English,Family,"Environmental, Puzzle, Territory Building, Video Game Theme","Area Majority / Influence, Cooperative Game, Hexagon Grid, Map Addition, Modular Board, Scenario / Mission / Campaign Game, Tile Placement, Variable Set-up",
,1,Dorfromantik: The Duel (2023),2,2,30-45 Min,"1,73",English,"Two-Player, Family","City Building, Environmental, Puzzle","Hexagon Grid, Modular Board, Tile Placement, Variable Set-up",
,2,Draftosaurus (2019),2,5,15 Min,"1,24",English,Family,"Animals, Prehistoric, Science Fiction","Closed Drafting, Dice Rolling, Die Icon Resolution, Set Collection, Simultaneous Action Selection",
,1,Dragomino (2020),2,4,15 Min,"1,06",,Children's,"Children's Game, Fantasy, Territory Building","Open Drafting, Pattern Building, Tile Placement, Turn Order: Stat-Based",
,1,Dragon Inferno (2021),2,2,10-20 Min,"1,2",,"Two-Player, Abstract","Abstract Strategy, Children's Game","Area Majority / Influence, Enclosure, Tile Placement",
,1,Drakenjacht (2018),2,4,10-15 Min,1,Dutch,Children's,"Children's Game, Collectible Components, Dice","Dice Rolling, Set Collection, Stock Holding",
,1,Drawsome Disney Edition (2019),3,10,20-30 Min,1,English,Party,Party Game,"Dice Rolling, Line Drawing",
,1,Dream Home (2016),2,4,30 Min,"1,65",English,Family,Card Game,"Memory, Open Drafting, Pattern Building, Set Collection, Variable Phase Order",
,1,Drinking war (2019),2,18,10-120 Min,"1,75",,Party,"Card Game, Mature / Adult",Take That,
,1,Droomhuis (2016),2,4,30 Min,"1,65",Dutch,Family,Card Game,"Memory, Open Drafting, Pattern Building, Set Collection, Variable Phase Order",
,1,Drop It (2018),2,4,30 Min,"1,09",Dutch,Family,Action / Dexterity,-,
,1,Drunk Stoned or Stupid: A Party Game (2014),4,99,15-30 Min,1,,Party,"Card Game, Humor, Mature / Adult, Party Game",,
,1,Duel om Cardia (2025),2,2,15 Min,"1,82",Dutch,"Two-Player, Family","Card Game, Fantasy","Hand Management, Simultaneous Action Selection",
,1,Duelosaur Island (2018),1,2,30-45 Min,"2,38",English,"Two-Player, Strategy","Animals, Card Game, Dice, Science Fiction","Dice Rolling, Hand Management, I Cut, You Choose, Income, Open Drafting, Set Collection",
,1,Dune Betrayal (2021),4,8,20-40 Min,2,,Thematic,"Card Game, Movies / TV / Radio theme, Novel-based, Party Game, Science Fiction, Spies / Secret Agents","Betting and Bluffing, Deduction, Hidden Roles, Negotiation, Roles with Asymmetric Information, Team-Based Game, Traitor Game, Variable Player Powers, Voting",
,2,Dungeon Lords (2009),2,4,90 Min,"3,57",,Strategy,"Economic, Fantasy, Fighting, Humor","Action Queue, Hand Management, Simultaneous Action Selection, Tile Placement, Worker Placement",
,2,Dungeon Mayhem (2018),2,4,10 Min,"1,16",English,Family,"Card Game, Fantasy, Fighting","Hand Management, Income, Player Elimination",
,1,DVONN (2001),2,2,30 Min,"2,65","Dutch, English","Two-Player, Abstract",Abstract Strategy,"Grid Movement, Map Reduction",
,1,Earth (2023),1,5,45-90 Min,"2,91",Dutch,Strategy,"Animals, Card Game, Environmental","Contracts, End Game Bonuses, Follow, Hand Management, Pattern Building, Solo / Solitaire Game, Tags, Team-Based Game, Tile Placement, Variable Set-up, Victory Points as a Resource",
,1,Eclipse: Second Dawn for the Galaxy (2020),2,6,60-200 Min,"3,66",,Strategy,"Civilization, Exploration, Science Fiction, Space Exploration, Territory Building, Wargame","Alliances, Area Majority / Influence, Area-Impulse, Dice Rolling, Grid Movement, Hexagon Grid, Hidden Victory Points, Hot Potato, Income, Modular Board, Passed Action Token, Tech Trees / Tech Tracks, Variable Player Powers",
,1,Eerste Boomgaard (2009),1,4,10 Min,1,Dutch,Children's,"Children's Game, Educational, Farming","Cooperative Game, Dice Rolling",
,1,Eight-Minute Empire (2012),2,5,8-20 Min,"1,63",,Strategy,"Card Game, Territory Building","Area Majority / Influence, Area Movement, Auction: Dutch, Open Drafting, Set Collection",
,1,El Grande Big Box (2015),2,5,90 Min,"2,8",,Strategy,Renaissance,"Area Majority / Influence, Area Movement, Auction / Bidding, Hand Management, Memory, Open Drafting, Simultaneous Action Selection",
,1,Elder Sign (2011),1,8,90 Min,"2,34",English,Thematic,"Adventure, Card Game, Dice, Fantasy, Fighting, Horror, Novel-based","Cooperative Game, Dice Rolling, Die Icon Resolution, Modular Board, Re-rolling and Locking, Solo / Solitaire Game, Variable Player Powers",
,1,Endless Winter: Paleoamericans (2022),1,4,60-120 Min,"3,33",,Strategy,"Adventure, Prehistoric, Territory Building","Area Majority / Influence, Deck, Bag, and Pool Building, End Game Bonuses, Hand Management, Income, Modular Board, Multi-Use Cards, Set Collection, Solo / Solitaire Game, Tech Trees / Tech Tracks, Turn Order: Auction, Variable Player Powers, Variable Set-up",
,1,Epic Card Game (2015),2,4,20-40 Min,"2,52",,Strategy,"Card Game, Fantasy, Fighting, Prehistoric, Zombies","Closed Drafting, Deck Construction, Hand Management, Player Elimination, Take That",
,1,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre (2012),2,6,30 Min,"1,57",English,Party,"Fantasy, Fighting, Humor","Dice Rolling, Hand Management, Take That",
,1,Escape Tales: Low Memory (2019),1,4,360-540 Min,"2,5",Dutch,Thematic,"Card Game, Deduction, Puzzle, Science Fiction",Cooperative Game,
,1,Eufraat & Tigris: Het Kaartspel (2005),2,4,45 Min,"2,74",,Strategy,"Ancient, Card Game, Civilization",Hand Management,
,1,Evacuation (2023),1,4,60-150 Min,"3,98",English,Strategy,"Industry / Manufacturing, Racing, Science Fiction, Territory Building","Hand Management, Highest-Lowest Scoring, Income, Pick-up and Deliver, Solo / Solitaire Game",
,2,Everdell (2018),1,4,40-80 Min,"2,83",English,Strategy,"Animals, Card Game, City Building, Fantasy","Contracts, End Game Bonuses, Hand Management, Income, Open Drafting, Ownership, Set Collection, Solo / Solitaire Game, Tags, Variable Set-up, Worker Placement",
,2,Everdell Duo (2023),1,2,30 Min,"2,74",English,"Two-Player, Strategy","Animals, Card Game, City Building, Fantasy","Contracts, Cooperative Game, Income, Open Drafting, Scenario / Mission / Campaign Game, Set Collection, Solo / Solitaire Game, Variable Set-up, Worker Placement",
,2,Evergreen (2022),1,4,45 Min,"2,14",Dutch,Family,Puzzle,"Bias, End Game Bonuses, Grid Coverage, Open Drafting",
,1,Evolution (2014),2,6,60 Min,"2,43",English,Strategy,"Animals, Card Game, Educational, Environmental, Prehistoric, Print & Play","Action Points, Hand Management, Push Your Luck, Simulation, Simultaneous Action Selection, Take That, Turn Order: Progressive",
,1,Evolution: Climate (2016),2,6,60 Min,"2,73",English,Strategy,"Animals, Card Game, Educational, Environmental, Prehistoric, Print & Play","Action Points, Events, Hand Management, Secret Unit Deployment, Simulation, Take That, Turn Order: Progressive",
,1,EXIT: Het Spel – Het Verschrikkelijke Spookhuis (2019),1,4,45-90 Min,"1,97",Dutch,Thematic,Deduction,"Cooperative Game, Real-Time",
,1,EXIT: Het Spel – De Poort tussen de Werelden (2020),1,4,60-120 Min,"2,71",Dutch,Thematic,"Deduction, Puzzle, Real-Time",Cooperative Game,
,1,Exodus Fleet (2017),2,5,60-120 Min,"2,9",English,Strategy,"Economic, Science Fiction, Space Exploration","Auction / Bidding, Variable Phase Order, Variable Player Powers",
,1,Exoplanet (2023),2,4,45 Min,2,"Dutch, English, French",Strategy,Space Exploration,"Action Points, Area Movement, Hand Management, Memory, Modular Board, Movement Points, Pick-up and Deliver, Point to Point Movement, Tile Placement",
,1,Expeditions (2023),1,5,60-90 Min,"3,05",,Strategy,Exploration,"Action Retrieval, Deck, Bag, and Pool Building, Grid Movement, Hand Management, Melding and Splaying, Modular Board, Multi-Use Cards, Solo / Solitaire Game, Tags, Variable Player Powers, Variable Set-up, Victory Points as a Resource, Worker Placement, Different Worker Types",
,2,Exploding Kittens (2015),2,5,15 Min,"1,08",Dutch,Party,"Animals, Card Game, Comic Book / Strip, Humor","Hand Management, Hot Potato, Player Elimination, Push Your Luck, Set Collection, Take That",
,1,Explorers (2021),1,4,20 Min,"1,88",,Family,"Abstract Strategy, Exploration","End Game Bonuses, Line Drawing, Modular Board, Paper-and-Pencil, Pick-up and Deliver, Set Collection, Square Grid, Variable Set-up",
,1,Fabelfruit (2016),2,5,20-30 Min,"1,61",Dutch,Family,"Animals, Card Game","Multi-Use Cards, Set Collection, Worker Placement",
,1,Farmerama (2012),1,4,60-70 Min,"2,09",,Family,"Animals, Farming, Video Game Theme","Hand Management, Simulation, Simultaneous Action Selection",
,1,Fast Flip (2016),2,8,15 Min,1,,Family,Real-Time,Pattern Recognition,
,1,Fauna (2008),2,6,45-60 Min,"1,45",Dutch,Family,"Animals, Educational, Trivia",Betting and Bluffing,
,1,FBI (2004),2,5,30 Min,"1,53",,Family,Card Game,"Set Collection, Simultaneous Action Selection, Turn Order: Auction",
,1,Fifty Fifty (2024),2,5,15 Min,1,,Family,Card Game,,
,1,Fika (2022),2,2,20 Min,"2,43",,"Two-Player, Family","Abstract Strategy, Card Game, Deduction, Print & Play","Pattern Building, Set Collection, Simultaneous Action Selection",
,1,Filou: De Kat in de Zak (2007),3,5,20 Min,"1,4",Dutch,Family,"Animals, Bluffing, Card Game","Auction / Bidding, Betting and Bluffing, Secret Unit Deployment",
,1,Finspan (2025),1,5,45-60 Min,"2,33",Dutch,Strategy,"Animals, Card Game, Educational","End Game Bonuses, Hand Management, Once-Per-Game Abilities, Solo / Solitaire Game, Tags",
,1,Five Crowns (1996),1,7,30 Min,"1,22",,Family,Card Game,"Hand Management, Score-and-Reset Game, Set Collection",
,2,Five Tribes: The Djinns of Naqala (2014),2,4,40-80 Min,"2,84",,Strategy,"Arabian, Fantasy, Mythology","Auction / Bidding, Constrained Bidding, End Game Bonuses, Hidden Victory Points, Mancala, Modular Board, Set Collection, Square Grid, Take That, Turn Order: Auction, Variable Player Powers, Variable Set-up, Victory Points as a Resource",
,1,Flamecraft (2022),1,5,60 Min,"2,19",Dutch,Family,"Animals, Card Game, City Building, Fantasy","Contracts, End Game Bonuses, Hand Management, Modular Board, Multi-Use Cards, Set Collection, Solo / Solitaire Game, Tags, Worker Placement",
,1,Flamme Rouge (2016),2,4,30-45 Min,"1,7",Dutch,Family,"Racing, Sports","Catch the Leader, Hand Management, Modular Board, Programmed Movement, Race, Simulation, Simultaneous Action Selection, Track Movement",
,2,Flip 7 (2024),3,18,20 Min,"1,03",,Party,"Card Game, Children's Game, Novel-based, Number, Party Game","Interrupts, Push Your Luck, Score-and-Reset Game, Take That",
,1,Flip City (2014),1,4,30-50 Min,"1,74",,Family,"Card Game, City Building","Deck, Bag, and Pool Building, Push Your Luck, Sudden Death Ending",
,1,Fluxx (1997),2,6,5-30 Min,"1,39",,Family,Card Game,"Hand Management, Set Collection",
,1,Fog of Love (2017),2,2,60-120 Min,"2,24",English,"Two-Player, Thematic","Bluffing, Card Game, Deduction","Communication Limits, Hand Management, Role Playing, Semi-Cooperative Game, Simulation, Simultaneous Action Selection, Storytelling",
,1,Foodie (2003),3,5,15 Min,"1,18",,Family,Card Game,"Commodity Speculation, Open Drafting, Set Collection",
,1,For Sale (1997),3,6,30 Min,"1,25",,Family,"Card Game, Economic","Auction / Bidding, Auction: Sealed Bid, Auction: Turn Order Until Pass, Hand Management, Selection Order Bid",
,1,Forest (2017),2,5,15 Min,1,"English, Dutch, French, German",Family,Card Game,Set Collection,
,1,Formula D (2008),2,10,60 Min,"1,97",English,Family,"Racing, Sports","Dice Rolling, Different Dice Movement, Grid Movement, Movement Points, Player Elimination, Push Your Luck, Race, Roll / Spin and Move, Simulation, Turn Order: Stat-Based",
,1,Frantic (2015),2,8,5-45 Min,"1,54",,Party,"Card Game, Humor, Party Game","Events, Open Drafting, Take That",
,1,Ga voor 20!,2,8,20 Min,"1,19",,Party,Party Game,"Cooperative Game, Memory",
,1,Gaia Project (2017),1,4,60-150 Min,"4,4",,Strategy,"Civilization, Economic, Science Fiction, Space Exploration, Territory Building","End Game Bonuses, Hexagon Grid, Income, Modular Board, Network and Route Building, Solo / Solitaire Game, Tags, Tech Trees / Tech Tracks, Turn Order: Pass Order, Variable Player Powers, Variable Set-up, Victory Points as a Resource",
,1,Galaxy Trucker (Second Edition) (2021),2,4,20-30 Min,"2,27",English,Thematic,"Adventure, Aviation / Flight, Dice, Humor, Real-time, Science Fiction, Space Exploration, Transportation","Dice Rolling, Events, Real-Time, Relative Movement, Tile Placement, Track Movement",
,3,Geharrewar in de Sushibar (2008),2,5,20 Min,"1,22",,Family,Dice,"Dice Rolling, Memory, Push Your Luck, Set Collection",
,1,Genius (2004),1,4,30-45 Min,"1,91",Dutch,Abstract,Abstract Strategy,"Hand Management, Hexagon Grid, Highest-Lowest Scoring, Pattern Building, Team-Based Game, Tile Placement",
,1,Get Packing (2018),2,4,15 Min,"1,33",,Family,"Action / Dexterity, Real-time","Pattern Building, Real-Time",
,1,Getaway Driver (2019),2,2,30-45 Min,"2,54",Dutch,"Two-Player, Thematic","City Building, Transportation","Hand Management, Map Addition, Modular Board, Tile Placement, Variable Player Powers",
,1,GIPF (1996),2,2,30-60 Min,"2,75","Dutch, English","Two-Player, Abstract",Abstract Strategy,"Grid Movement, Pattern Building",
,1,Glasgow (2020),2,2,30 Min,"2,02",Dutch,"Two-Player, Strategy",City Building,"Income, Rondel, Set Collection, Square Grid, Tags, Tile Placement, Turn Order: Time Track, Variable Set-up",
,1,Gnome Hollow (2024),2,4,45-60 Min,"2,36",Dutch,Family,"Fantasy, Farming","Action Queue, Hexagon Grid, Pieces as Map, Set Collection, Tile Placement, Worker Placement",
,1,Go (-2200),2,2,30-180 Min,"3,91","Dutch, English","Two-Player, Abstract",Abstract Strategy,"Chaining, Enclosure, Pattern Building, Pattern Recognition, Square Grid",
,1,Gravity Superstar (2018),2,6,15-30 Min,"1,43","Dutch, English",Family,"Abstract Strategy, Video Game Theme","Grid Movement, Hand Management, Modular Board",
,1,Great Plains (2021),2,2,20 Min,"1,7",Dutch,"Two-Player, Abstract","Abstract Strategy, Prehistoric, Territory Building","Area Majority / Influence, Chaining, Grid Movement, Hexagon Grid, Modular Board, Resource Queue, Slide / Push, Static Capture, Variable Set-up, Zone of Control",
